incident_id,employee_id,severity,incident_type,description
INC_2001,EMP_1006,CRITICAL,Offboarding Gap,Identity metadata deviation observed. Pattern aligned with profile fingerprint: Offboarding Gap.
INC_2002,EMP_1026,CRITICAL,Offboarding Gap,Identity metadata deviation observed. Pattern aligned with profile fingerprint: Offboarding Gap.
INC_2003,EMP_1055,CRITICAL,Offboarding Gap,Identity metadata deviation observed. Pattern aligned with profile fingerprint: Offboarding Gap.
INC_2004,EMP_1094,CRITICAL,Offboarding Gap,Identity metadata deviation observed. Pattern aligned with profile fingerprint: Offboarding Gap.
INC_2005,EMP_1106,CRITICAL,Offboarding Gap,Identity metadata deviation observed. Pattern aligned with profile fingerprint: Offboarding Gap.
INC_2006,EMP_1129,CRITICAL,Offboarding Gap,Identity metadata deviation observed. Pattern aligned with profile fingerprint: Offboarding Gap.
INC_2007,EMP_1136,CRITICAL,Offboarding Gap,Identity metadata deviation observed. Pattern aligned with profile fingerprint: Offboarding Gap.
INC_2008,EMP_1144,CRITICAL,Offboarding Gap,Identity metadata deviation observed. Pattern aligned with profile fingerprint: Offboarding Gap.
INC_2009,EMP_1161,CRITICAL,Offboarding Gap,Identity metadata deviation observed. Pattern aligned with profile fingerprint: Offboarding Gap.
INC_2010,EMP_1204,CRITICAL,Offboarding Gap,Identity metadata deviation observed. Pattern aligned with profile fingerprint: Offboarding Gap.
INC_2011,EMP_1229,CRITICAL,Offboarding Gap,Identity metadata deviation observed. Pattern aligned with profile fingerprint: Offboarding Gap.
INC_2012,EMP_1235,CRITICAL,Offboarding Gap,Identity metadata deviation observed. Pattern aligned with profile fingerprint: Offboarding Gap.
INC_2013,EMP_1037,HIGH,Over-privileged Identity,Identity metadata deviation observed. Pattern aligned with profile fingerprint: Over-privileged Identity.
INC_2014,EMP_1255,HIGH,Over-privileged Identity,Identity metadata deviation observed. Pattern aligned with profile fingerprint: Over-privileged Identity.
INC_2015,EMP_1198,HIGH,Over-privileged Identity,Identity metadata deviation observed. Pattern aligned with profile fingerprint: Over-privileged Identity.
INC_2016,EMP_1011,HIGH,Over-privileged Identity,Identity metadata deviation observed. Pattern aligned with profile fingerprint: Over-privileged Identity.
